JANTINA,POSKOD_R,BAYARAN ZAKAT KESELURUHAN
L,54200,500
L,86800,1320
P,,290
L,53200,15000
L,,1080
L,62300,55
L,43900,600
P,59100,480
P,48020,308
L,70400,3500
L,43000,60
L,56100,1785
P,57100,920
L,56000,588
P,56100,650
L,51000,720
L,60000,20000
L,42200,1080
L,53300,600
P,48000,2102.4
L,47810,2000
L,71760,3300
P,53100,2600
,54200,1600
L,59200,3180
P,34200,120
P,,374
L,53300,700
L,43300,35460
L,47810,1250
L,68000,500
P,53200,600
P,53300,1815.26
P,70450,648
L,53100,1000
L,68100,1300
P,,240
L,56000,1840
P,,1800
P,,1950
P,43900,13000
L,62250,1154
L,53300,833
P,68100,1230
L,43650,28000
L,,1920
P,2700,600
L,52100,1000
P,47180,12000
P,53300,600
P,51200,852
L,43200,4800
L,43000,1800
L,68100,50
P,68100,450
P,56000,4200
L,53300,1000
L,68100,1360
L,60000,3500
L,68000,5323
P,62300,370
L,,360
L,42500,1800
P,68000,3512.6
P,25150,560
L,47000,1200
L,68000,10000
P,40100,280.92
L,68100,1504
P,,780
P,55100,700
P,47100,3115
P,68000,1100
L,,3650
L,54200,300
L,47100,600
L,56000,1300
L,62050,1776
P,51000,790
P,46350,20000
L,31350,1200
P,40100,1200
L,,11924.3
L,54200,1440
L,,40220
L,68100,4000
L,,306
P,43200,3494
P,47100,18000
L,47500,468
P,43650,6840
L,47410,10000
L,89580,60
L,40000,5200
P,47100,850
P,51000,600
L,44300,461
L,40000,8800
L,68000,2260
L,,520
P,50400,2500
P,68100,1500
L,56000,300
L,40150,1587.99
L,47000,2750
L,,336
P,68000,1000
,62150,720
L,47810,3200
P,54200,2000
L,68000,10532.61
P,,276
L,54200,720
P,47100,1700
,85000,480
L,43000,3000
P,62050,2000
P,62150,2680
P,50480,3600
P,40000,40
P,51200,2000
P,68100,720
L,43000,1900
P,68100,534
L,68000,8425
P,55100,1980
P,53100,6550
P,,120
P,47500,2700
P,40150,1300
L,,840
L,62150,90
P,40150,946.8
P,43700,200
P,68100,6450
L,68000,5400
L,68000,1200
P,26690,300
P,47800,38669.2
P,55100,8400
P,43000,2160
P,43100,612
P,56000,4000
P,40000,8010
P,56100,400
L,43000,2105
L,43650,4932
P,47630,50000
P,71800,2411
L,,54195.75
L,40170,8394.16
P,43000,9600
P,59200,4387
P,43100,2160
P,,418
P,43000,480
P,40170,1891
L,40100,4002.65
P,47100,1200
P,51000,2400
P,68000,10400
P,47600,34761
L,55000,636
L,41200,220
P,56000,5644
P,54200,8960
P,53100,1000
P,55100,1660
L,53200,106
P,,1200
L,42200,360
P,54200,2000
P,57100,407.5
P,59200,1650
L,54000,2875
P,43200,33600
P,48000,6000
P,52200,1000
P,43650,1800
P,55100,2000
P,,193.28
P,52100,300
P,52100,800
L,50490,140000
P,56000,2790
P,52200,2000
P,87027,1300
P,,2400
L,55100,243.25
P,68100,1800
L,53100,9900
P,56000,300
L,90713,600
L,87000,2171
L,68100,1200
P,54200,1000
P,,940
L,54200,7300
P,55100,5000
P,,143
P,87000,940
L,54200,456
L,62300,923.5
P,,3000
L,,390
P,51200,200
P,51000,1500
P,50100,1100
P,50490,3000
P,27000,469.49
P,,1520
L,68000,15000
L,33000,7151.02
P,43300,480
L,40160,8080
L,53100,360
L,68100,3500
L,43200,3000
L,53300,3600
L,40100,22450
L,60000,162512.25
P,59100,600
L,51000,6391
L,43650,10400
P,,756
P,46000,2300
P,55100,390
L,40150,8400
P,56000,18.45
P,,3832.8
P,40470,5100
P,53000,1400
P,53100,3500
L,2100,360
L,52200,31272
L,40400,11000
P,47400,1200
P,60000,6400
P,77300,1300
P,70400,520
L,51000,30
P,57100,390
L,62250,943
L,,300
L,71450,10015.9
P,68000,5000
L,43000,1700
L,62250,2175
L,53300,3547
L,55100,356.2
P,68000,150
L,40150,15508.55
L,68000,1068.14
L,43200,700
L,,220
L,55300,17156
L,68100,3600
L,,120000
P,68100,2700
L,53300,4622
P,57000,288
L,43200,1200
P,68100,9500
L,62300,1100
P,53300,1646
L,,561
L,43100,2244
P,68000,100
P,67000,1000
P,58200,200
L,47820,5000
P,53300,2000
L,53300,400
L,68000,35500
P,47300,2000
L,47301,18500
L,43100,970
L,52100,370
P,51100,2100
L,75450,400
L,40160,12000
P,46000,3200
P,53100,130
L,40150,330
L,56100,11000
P,68000,200
P,51100,484
,43200,7200
L,,17789.6
P,51000,550
L,53300,7550
L,59000,6500
P,68100,1000
P,52200,75
L,68100,840
L,40160,600
L,68100,1430
L,68000,435000
L,16150,2300
L,51200,1953
L,54200,156
L,43300,360
L,43000,18000
L,56000,2564
L,60000,1630
L,,1695.83
P,31350,120
L,53000,700
L,46350,33000
P,55200,2191
P,43200,1200
L,43000,540
P,,130
L,54200,2172
L,78300,216
P,,654
P,59200,240
P,53300,400
L,62300,20015
L,,1560
L,47100,11692
L,53100,3500
L,50300,1080
P,84000,500
L,53100,450
L,68000,500
L,68000,2531.65
P,43300,14375.25
P,53300,3000
P,53100,3266
L,,240
L,40300,480
L,87000,1600
L,47120,3000
P,,18512
L,70400,33000
L,40150,2004
L,59100,84000
L,71600,2064.2
L,47300,9500
P,55100,450
P,56100,120
P,43650,770
L,,1800
L,31600,240
P,,297
P,52200,436
L,50490,12500
L,43000,5000
L,43000,2500
L,50490,15000
L,8400,300
L,47301,4000
L,17000,120
L,57100,2520
P,41700,700
P,43300,975
P,48050,2657.38
P,47150,80
L,41300,1200
P,54000,1840
P,47610,2100
L,59200,520.39
P,,480
P,50300,700
P,68000,90
P,43000,17144.85
L,56000,2750
L,43300,150
P,47100,225
P,53100,19360
P,40150,13800
P,,1800
P,68100,180
P,43000,1209
L,,390
P,47650,1300
L,43500,399.8
L,68000,600
P,47000,1100
L,43650,10200
L,68000,1200
P,55100,1010
P,40160,3600
L,43000,2056
P,75250,55
P,,360
P,47100,12438
L,50480,1400
P,55100,3000
L,41200,3540
L,43000,1100
P,43650,13239.85
P,47800,860
P,55100,5500
L,13200,6500
L,53300,250
P,43800,3720
P,43000,960
P,40300,1500
P,47150,1050
L,60000,9600
P,,275
L,,4950
L,68000,8250
L,47100,4400
L,53300,1260
P,56000,1555.8
P,47830,1812
P,68100,2508.5
P,47000,36560.17
P,47100,2400
L,47100,4933.55
L,,455
P,50734,4100
P,87000,990
P,42450,3192.5
L,68000,39530
L,50300,50
P,43650,36
P,73000,6240
L,5200,3240
L,48300,1200
L,48020,444
P,54200,11000
L,51100,1200
L,50300,26400
P,48200,325
P,48020,1320
L,48010,3410
P,56000,4550
L,40150,7600
P,53000,2000
P,47100,2650
P,56000,1440
P,53100,1950
L,50300,385
P,40150,240
P,55100,12000
L,43300,1150
P,68000,12000
