JANTINA,POSKOD_R,BAYARAN ZAKAT KESELURUHAN
L,47301,5000
L,86800,951
L,47650,6000
P,,240
L,53200,5000
L,,990
L,62300,60
L,43900,500
P,59100,400
P,48020,336
L,43000,462
L,56100,5381
P,47820,500
P,57100,800
P,43000,400
P,56100,600
L,51000,2509.73
L,60000,25204.51
L,42200,780
L,53300,600
P,48000,1234
L,47810,2000
L,71760,1980
P,53100,2400
L,68100,1000
L,59200,1980
P,34200,413
P,,408
L,43300,3000
L,60000,27462.21
P,52200,540
L,11200,122441.5
L,47810,500
P,53200,382
P,53300,1358
P,70450,2698
L,53100,1580
L,33800,22387.96
L,68100,1250
P,,240
L,56000,549
P,,1050
P,,880
L,62250,1145
L,,1650
P,68100,560
L,43650,23000
P,2700,600
L,52100,1000
P,47180,8000
P,53300,650
P,51200,994
L,43200,4500
P,47301,11006.75
L,43000,1200
L,68100,40
P,56000,3100
L,53300,1000
L,68100,1250
L,60000,3492.8
L,68000,450
P,62300,637
P,52100,240
L,,360
L,43000,2500
L,42500,1800
L,71800,100
P,68000,4812
P,25150,520
L,54200,8223
L,47000,900
L,68000,15000
L,54200,2000
P,40100,280.92
L,68100,1796
P,,365
P,43200,2500
P,55100,400
P,47100,374
P,68000,1000
L,,940
L,54200,300
L,47100,600
L,56000,1000
L,62050,928
P,51000,680
P,46350,17500
P,68000,1007
P,56100,800
L,31350,450
L,,2400
P,40100,1300
P,47100,10
L,,12054.35
L,54200,2040
L,52100,550
L,,44242
L,68100,7000
L,,324
P,43200,5020
P,47100,18000
L,47500,432
P,43650,1680
L,89580,45
L,40000,3000
P,47100,875
L,53300,1700
P,51000,650
L,40000,12000
L,68000,8060
P,42300,870
L,,480
P,50400,875
P,68100,2000
L,53200,60000
L,56000,1300
L,40150,500
P,,894
L,47000,1079
L,,252
P,68000,1000
L,47000,7200
,62150,780
L,47810,3950
P,43000,1900
P,54200,2000
L,68000,54
P,,207
L,54200,660
P,47100,2000
,85000,480
P,59200,120
L,43000,6000
P,62050,2200
P,62150,1995
P,50480,3600
P,40000,260
P,51200,500
P,50450,13
P,68100,650
L,43000,800
P,68100,430
P,68000,14500
P,55100,2340
P,53100,4000
P,,130
P,47500,6450
P,40150,1260
L,,720
L,56000,500
L,68100,522
L,62150,120
P,62050,180
P,,220
P,40150,3690
P,43650,200
L,43900,280
P,68100,1400
L,68000,3500
L,68000,1300
P,26690,900
P,47800,11499.81
,,140
P,55100,2600
P,48000,1300
P,43000,2520
L,43650,7200
P,56000,5000
P,40000,7000
P,53100,1200
P,56100,300
L,43000,1806
L,43650,5343
P,47630,5500
P,71800,2600
L,,39545
L,40170,9498.1
P,43000,7350
P,59200,3043
P,43100,2160
P,,494
P,43200,6912
P,43000,480
P,40170,564
L,40100,2838.05
P,47100,1300
P,51000,4810
P,68000,5440
P,47600,25843
L,55000,742
L,41200,260
P,56000,3042.5
P,54200,5960
P,53100,11000
P,,1240
L,42200,360
P,54200,1500
P,68100,2500
L,47100,800
L,60000,750
L,,423
P,59200,1800
P,62250,3320
P,51200,700
L,54000,3250
P,43200,9600
P,48000,6494.7
P,52200,12170
P,43650,1700
P,55100,1750
P,55100,3000
P,52100,300
P,52100,600
L,50490,20000
P,56000,2095
P,52200,5000
P,87027,1200
P,,840
P,68100,1200
L,53100,7400
P,43000,621
P,56000,100
P,30020,6000
L,68000,856
P,50300,160
L,90713,600
L,87000,1503
L,68100,1200
P,54200,300
P,,780
L,54200,5200
P,55100,3000
P,,143
P,87000,960
P,68000,1000
L,54200,468
L,62300,924
P,,2750
L,,360
P,51200,250
P,68100,1600
L,47000,600
P,51000,2000
P,53300,1200
P,50100,880
P,50490,3000
P,27000,15
P,68000,819
P,,995
L,68000,10000
L,33000,0.2
P,47000,180
P,43300,520
L,40160,15210
L,53100,360
L,53300,1100
L,40100,65000
P,50480,7300
L,60000,103340.06
P,59100,1300
L,51000,6972
L,43650,7200
P,,756
P,46000,2170
P,55100,284.5
L,40150,8400
P,51000,400
P,,6566
P,40470,1800
L,54000,759
P,53000,1200
P,53100,13000
L,2100,330
,68100,350
L,52200,35813
P,50490,950
L,40400,2650
L,43200,3000
P,47400,1365.14
P,60000,5700
P,77300,1845
P,52100,400
P,70400,440
L,51000,61
P,57100,360
L,62250,400
L,,300
L,56100,150
P,68000,10000
L,43000,10663.45
P,60000,10527
P,60000,10000
L,53300,2000
L,55100,788
P,59200,837
L,43200,700
L,43000,2900
P,53100,5000
L,,360
L,,1750.8
L,55300,17699
,,108
L,68100,3200
L,,165000
P,68100,2580
L,53300,4233
P,57000,336
L,43200,3200
P,68100,7130
L,62300,992.28
L,,612
L,43100,2448
P,68000,927.5
P,58200,800
P,53300,100
L,47820,12000
P,53300,500
L,68100,42000
L,53300,300
L,68000,15000
P,47300,1000
L,43100,1080
L,52100,600
P,51100,810
P,54200,904
L,75450,3400
L,40160,12000
P,53100,120
L,47100,8511
L,40150,300
L,56100,3000
P,52000,2125
P,71200,434
P,68000,500
P,51100,384
L,,2808.05
P,51000,560
L,53300,7200
L,59000,1300
L,43800,2730
P,68100,800
P,52200,60
L,68100,3640
L,40160,600
L,68100,520
L,51100,1830
L,68000,1055000
L,16150,1920
L,51200,2880
L,54200,169
L,43300,360
L,43000,74179.67
L,56000,3340
L,41000,495
L,60000,2036
L,,504.13
P,31350,120
P,47650,6600
L,46000,150
L,53000,600
L,46350,16000
L,53100,70
P,55200,450
P,43200,200
L,43000,585
P,,110
P,53300,288.05
L,54200,2294
L,78300,162
P,,550
P,59200,240
L,68000,26156
L,62300,8310
L,,1430
L,47100,3264
L,53100,2000
L,62050,4200
L,50300,1080
P,84000,550
L,53100,300
L,68000,2500
P,43300,9362.2
P,53100,5556.38
L,,240
L,42700,4600
L,40300,480
L,87000,1585
L,47120,3000
P,,17088
L,70400,5600
P,,7000
L,40150,384
L,59100,48000
L,71600,1152
L,47300,5000
P,55100,382
P,56100,130
P,43650,910
L,,1600
L,31600,180
P,,340
L,56000,100
L,53000,5170
L,48000,1435
L,50490,10000
L,43000,3000
L,43000,57508
L,50490,15000
L,8400,300
L,17000,90
L,43300,490
P,50480,621
L,57100,1250
P,47810,7000
P,43650,600
P,43300,900
P,48050,2407.32
P,47150,560
P,50470,3300
P,47830,1233
L,41300,1100
P,54000,1679
L,68000,5400
L,59200,2038.12
P,43000,650
P,,480
P,68000,165
P,43000,13088.65
L,56100,2467.2
L,56000,1800
L,11950,360
L,43300,360
P,43100,1675
P,47100,300
L,47301,27500
P,53100,13422
P,40150,10525.2
P,68000,500
P,,1200
P,68100,120
P,43000,1049.75
L,,390
L,47301,350
P,47650,5138.8
L,43500,1475.25
L,54200,24000
L,68000,700
P,47000,600
L,43650,10200
L,68000,1200
L,48100,3991
P,55100,360
L,43000,1542
P,70450,14935.3
P,,310
P,47500,850
P,47100,5525
L,50480,936
L,41200,5644.49
L,43000,900
P,43650,14193.13
P,47800,1400
P,55100,5100
L,13200,6000
L,52200,45000
P,43800,3260
P,43000,960
P,40300,1500
P,68000,929
L,58100,780
P,47150,630
L,43650,120
L,60000,9300
L,68100,1756
L,43000,6250
P,,300
L,,5400
L,68000,9000
L,47100,4170
L,53300,2116
P,56000,1008.15
P,47830,2378
P,68100,1460.45
P,47000,15040
L,47100,9735.55
L,,455
P,50734,680
L,47000,1314.16
P,87000,395
P,42450,19650
P,40170,630
L,68000,251575
L,58100,24000
L,53300,500
L,50300,1000
P,,1200
L,56000,2988
P,73000,6760
L,5200,2430.31
L,48300,724.95
L,48020,444
P,54200,7750
L,51100,650
L,50300,26008.25
L,,2400
P,48200,325
P,48020,1200
P,56000,25752.25
L,48010,3428
P,56000,4200
L,40150,11100
P,53000,3000
P,47100,3200
P,56000,180
L,43000,3000
L,59200,1800
P,53100,1890
L,50300,420
P,47810,8000
L,50490,12000
P,31900,120
P,68100,8400
P,55100,12400
P,54000,85652.45
L,43300,950
P,68000,13000
L,54200,4800
L,68000,34032
P,,12250.95
P,43500,110966.25
P,24000,300
P,43700,9200
P,,19531
L,59200,20400
L,,360
P,,3000
L,40150,2494.4
L,,240
P,43000,6178.3
L,43000,5000
L,40160,577.95
L,,6750
P,43200,500
L,,516
P,40150,7860
L,51200,440
L,51000,650
P,53300,6000
L,54200,64800
P,68100,1170
P,68000,1648
L,52200,7872
L,47301,300
L,68000,5500
L,43650,195
P,47800,13067.4
P,47100,300
P,68100,110
L,68100,2750
P,54200,780
L,52000,440
P,51000,600
P,46200,18565.03
L,56000,1970
P,40150,120
P,60000,1100
L,43000,12500
L,43000,7200
P,,600
P,43650,5400
P,,550
P,43700,3400
P,53100,1200
P,,4332
L,56100,2200
L,55100,240
L,53300,100
L,52000,7237
L,68100,45439.05
P,40150,2600
P,68000,2200
L,53100,3000
P,43200,1400
P,40160,2000
L,43300,2360
P,56100,31530.85
L,,360
P,43000,2975
L,,520
P,60000,910
L,51300,2000
L,53000,2539
L,43000,2200
P,43650,2000
P,68100,249.6
L,51200,6892
P,47400,280
P,43000,13007.2
P,50400,10000
P,54200,1000
P,53100,2600
P,43200,600
P,68000,5200
P,43000,1300
L,68100,450
P,54200,400
P,68100,10420
P,43000,988
L,68000,6000
P,68000,1300
P,43000,1200
P,54200,6000
L,68000,650
L,53300,600
P,56000,215
L,25050,8984
P,68100,10000
P,58000,300
P,,515.55
P,,325.2
P,70400,2681.25
P,50600,240
L,50300,817.8
P,68100,6600
L,62300,90
P,40150,13200
P,,140
P,50490,1440
P,47100,30000
P,47301,500
P,52000,960
L,47190,600
L,40400,1999.34
P,68000,19800
L,56000,600
L,,108
L,,440
