JANTINA,POSKOD_R,BAYARAN ZAKAT KESELURUHAN
L,68100,96
L,51200,4760
,,90
L,14300,120
P,56000,300
L,62500,12000
P,43300,5200
L,,600
P,43000,2500
P,57100,720
P,68100,1120
L,,366
P,50560,55
L,50300,876.4
L,,1020
P,43650,455
L,56000,1000
L,68100,412
P,71800,3600
P,53100,2160
L,,700
L,55100,2631
L,,7200
L,45600,440
L,43000,3600
P,55100,10
L,,112.5
P,68000,50
P,,840
P,47820,2450
P,40150,5556.58
P,43000,1950
L,50250,2400
P,56000,1680
L,43000,3840
L,43200,360
L,59100,12096
L,73000,180
P,62150,30
L,54200,1700
L,55100,1200
P,43000,1828
,73400,360
P,,130
P,43800,3600
L,43000,260
L,,1800
P,55100,2400
P,,1200
P,53300,1925
P,68000,2800
P,,144
L,51200,300
L,,3600
P,62050,1600
L,43650,120
P,54200,240
L,,3140
P,50300,424.22
P,52100,715
L,42300,5400
L,50300,1000
L,43650,1000
P,47300,600
P,48000,2400
P,43300,4225
P,62250,1088
L,46000,7000
L,68100,1000
L,47810,12000
L,70400,4938.36
L,53100,1926
P,43000,11600
P,,4810
P,,600
,,849
P,,1300
L,68100,25000
L,43200,611
L,47000,360
P,56000,1836
P,47150,754
L,75200,900
P,56000,275
L,53300,8400
L,48020,1440
P,56000,2200
L,40100,39473.95
L,68000,1300
P,,130
P,50400,3890
P,68000,1200
P,55100,644
L,87030,1800
P,59200,1200
P,68100,2771
P,54000,1400
L,70450,1000
L,,180
P,43300,1735
P,87008,676
L,56000,3530
P,53100,1300
L,43200,3720
P,43000,1000
P,62502,420
L,76400,860
L,55000,100000
L,40150,6000
L,40000,2400
L,53300,14560
L,53100,814
P,56000,5800
P,68000,2900
P,,2400
L,,240
L,43650,6000
P,55300,22000
P,,3000
,,10375.64
L,68000,1140
P,43500,1310
P,43300,2080
P,,300
L,43900,468
P,87000,120
P,50578,720
L,56000,3468
P,68100,750
L,62250,790
L,58100,1750
L,87000,38000
P,47300,8820
P,55100,1480
L,47620,7200
P,87000,1150
P,43200,2600
L,53300,750
P,48020,105
L,40150,7698.85
L,52200,3000
L,,2000
L,40150,3384.75
L,68000,1000
L,62250,10000
P,47410,300
,53300,1610
P,51200,1143
L,57000,480
L,68100,2400
L,76100,600
P,48000,3800
L,40400,1800
P,54200,420
P,87007,840
L,87008,6000
L,43650,1704
P,43200,13000
P,54000,21
P,43800,830
L,,540
P,68000,3900
L,54200,750
P,43900,1000
P,56000,4912.15
L,56000,1000
L,,450
P,62150,2500
P,53300,350
L,68000,6000
P,43000,3000
L,57000,18000
P,62300,3250
P,50480,380
P,87031,15000
P,62250,10305.15
L,48200,492.26
P,,492
L,40000,18900
P,35900,550
P,,120
P,62050,1500
L,,90
P,53100,1300
L,62500,2500
P,57000,7050
L,56000,745
L,54200,4818
L,62200,1057.82
L,62250,4800
P,47100,7050
L,54200,9780
L,47810,1200
P,53100,8000
P,43650,585
P,68000,2000
P,68100,70
P,54200,1618
L,,90
P,,600
L,18500,90
L,50480,21677
L,43200,100
P,58200,620
P,55100,1000
L,43000,9600
L,52100,682
P,53100,2040
L,43500,1650
P,47810,100
P,55100,6360
P,,924
P,53300,1700
L,43650,600
P,55100,470
L,54200,352
P,68100,156
L,72400,351
L,78000,74
P,56000,125
L,53100,3400
L,43000,31505
P,43200,2550
L,,1170
P,60000,4500
P,88620,240
L,68000,5857.75
L,48000,1800
L,,45
L,,42
P,43700,120
L,59200,1000
P,,300
P,41200,1800
P,62000,1311.7
P,53100,1611.53
L,68100,2500
P,53300,1300
P,,300
L,47810,6000
L,53300,3676
P,43000,216
L,41100,909
P,41050,1150
L,47000,6000
P,43000,6115.15
L,,2100
L,43300,1032
P,18300,1300
L,68100,924
L,53200,333
P,40160,1920.15
L,,1051.9
P,40150,100
L,53300,117
P,43300,390
L,46150,1050
L,43650,130
P,52000,15800
L,53300,120
P,48301,2090
P,40400,1268
P,62050,5453.65
L,60000,1000
L,62300,1020
L,47000,260
L,,90
P,52000,100
L,55100,5000
P,50480,1150
L,43000,1100
L,70400,29764.7
L,,10000
P,68000,660
L,43000,960
P,68000,3532.75
P,,182
P,68100,5165.03
L,58100,46169.25
P,50480,288
P,68000,360
P,54200,840
P,43650,900
L,56000,300
P,58100,2200
L,53300,4838
P,43000,840
P,43000,360
P,43300,560
L,60000,1455.6
P,,16500
P,,240
L,43200,2860
L,68100,560
P,43000,350
P,,130
L,56100,30
P,53900,776
P,45600,1770
P,47820,600
P,43300,336
P,60000,500
L,47000,450
L,52100,550
P,53100,275
P,43800,1235
L,51000,1026
L,58000,700
L,,615
P,43000,650
L,47810,31123.9
P,68000,54
P,43300,585
P,51000,300
,50480,2688
L,43000,2100
P,56100,40
P,,1371
P,43000,4677
P,71450,1300
L,68100,12000
L,56000,2927.3
P,54200,798
L,81300,5500
P,,100
L,68100,4728
L,51200,789
L,91110,864
P,56000,1976
P,87000,1100
L,41050,600
P,55100,2000
L,40400,500
P,,8144
P,54200,585
L,87027,1656
L,42700,360
P,,465
,50350,2000
P,43700,120
L,40170,36000
P,43300,1300
L,58100,101194.9
P,53300,523.9
P,,840
,,60
L,50490,10400
L,54200,450
L,41700,540
P,54200,540
L,43300,2565
L,40200,300
L,47100,2800
P,53100,700
L,87000,15000
L,,396
L,56000,6300
P,,7
L,43300,1501
P,47810,1720
L,71800,600
L,57000,2000
L,54000,505
P,51200,8020
L,62250,344
L,48020,494
L,,639
L,43000,480
L,,180
P,,30
P,56100,2650
L,48200,1680
P,40150,3300
P,43200,620
L,33000,500
P,68000,170
P,53100,3070
P,55100,1400
L,54000,240
L,55000,342
P,43000,500
L,48200,800
P,50490,750
P,46350,240
L,56100,4580
L,43650,1400
P,52000,600
L,43000,38
P,55100,900
P,62150,600
P,51200,1900
P,52000,360
P,68100,2500
P,53300,1510
P,43200,1281
P,43200,850
P,70450,1300
L,56100,130
P,43000,720
L,47600,456
L,48100,1000
P,53200,798
L,57000,527
L,93677,327
P,,600
P,55100,410
L,,730
L,30100,1673.95
L,55100,16482.18
L,43300,5800
,54200,1800
L,40150,3500
P,52200,100
P,43300,6731.91
P,87020,1024
P,62520,74
L,62300,3000
P,53100,3600
L,53300,510
L,53200,120
P,,950
L,48000,1020
P,43300,360
P,43000,1040
P,,11505.65
P,,580
L,54200,7075
P,68000,3168
L,48000,130
P,68000,910
L,56100,744
L,56000,250
P,70400,1380
P,,364
P,62050,247
L,8000,1677
P,51200,250
L,,459
L,,90
L,52100,180
L,68000,168.07
,23000,210
L,51100,514
P,8700,120
P,47180,385
P,56000,840
L,40150,29479.55
L,40300,3580
P,54000,610
P,54200,600
L,56000,885
P,68000,3623.4
L,62050,250
P,68100,2700
P,48300,260
L,75260,840
L,85000,220
P,84000,312
P,,900
L,87000,800
P,48300,1740
L,13200,1070
L,40170,3100
L,54200,3003
P,,54
L,46100,528
L,54200,740
P,,600
,,50232
P,55100,1950
P,68100,1800
P,56000,360
L,53100,1200
L,43650,12529.5
P,40700,1800
L,43500,1300
P,43500,1765.66
L,53100,600
P,48220,416
P,51100,1100
P,50300,1650
L,40400,7000
P,40000,1090
P,48000,1272
L,43650,3358
L,43000,5525
L,,748
P,54200,2614.6
P,48000,283.92
P,43000,5418.4
L,48000,130
P,40150,1212
P,81200,156
L,,1560
P,,260
L,43000,110
P,56100,5610
L,52000,240
P,57000,700
L,,2100
P,,840
L,,900
L,43300,360
L,43000,2569.95
L,43300,280
P,53100,13029
L,53100,200
P,50604,350
L,40150,2750
L,54200,2461.76
P,68100,1020
P,56100,1820
L,43300,504
P,51000,452.5
L,50400,2484.5
P,47100,3000
L,47810,1632
P,52000,313
P,43200,1300
L,48300,650
P,43000,5020.38
,,330
L,48000,494
L,53300,1455
L,,390
P,43900,750
L,,130
P,46200,600
P,48020,576
P,68000,1600
L,60000,2325.15
P,55100,360
L,55100,70
L,,969
L,68100,2424
P,47100,3000
L,85200,20
P,78000,150
L,87000,1800
L,71800,200
P,,396
L,,330
L,62250,240
L,,1380
P,52100,1539
L,87020,1150
P,87020,456
L,56100,1732
P,51100,1036
P,57000,689
L,,980
L,,220
L,68000,1700
L,62604,700
P,,1485.1
L,68100,750
L,68100,9777.75
P,59200,3013.87
L,45300,456
P,56100,1170
P,68000,2230
P,43200,1300
L,,5200
L,68100,3666
P,60000,850
P,,130
P,54000,1985.65
P,,120
P,53100,1266
P,46000,1340
L,6000,585
P,56000,7
P,47810,2200
L,,630
P,68100,5000
P,60000,1543
L,,2120
,53000,2000
P,56100,3000
L,55100,2600
L,87009,522
L,31150,720
P,48000,1800
L,48000,1992
P,43300,30100
P,43200,559
P,84800,740
P,,744
P,62604,1300
L,26140,567
L,,744
L,62100,2652.6
L,,9526
L,55100,8991.2
P,43300,2273
L,56100,4884.65
P,68000,1285.58
P,71800,960
L,70400,685
P,9010,240
P,53300,1500
L,,960
P,,50
P,57100,455
P,55100,280
P,62050,1464
L,,13148
L,58000,4800
P,47100,20
P,47000,360
L,68000,180
P,53100,234
L,47300,6076
P,43650,660
L,56100,1175
P,,700
L,,90
L,53300,32500
L,42610,1260
P,60000,2400
L,47500,3600
L,,600
P,62150,160
P,52100,5200
P,,1736.14
P,59200,1349.52
L,47410,1650
P,68000,240
L,40150,819
,8000,406.08
,43500,600
P,5300,240
L,,418
P,43300,700
P,54200,1200
P,48000,640
L,51000,120
P,53100,860
P,46150,396
P,68100,480
P,,372
L,53300,500
P,43650,299
L,40300,260
L,68000,12400
L,43700,400
L,54200,2400
P,54200,972
L,43650,1300
L,,978.6
P,52200,24000
L,68000,252
L,,372
L,,1100
P,62050,936.47
L,,360
P,47500,1700
L,53100,104
P,68000,1320
P,40170,650
L,,120
L,70400,4940
L,48000,650
P,,533
L,47000,144
L,53300,3600
P,68100,360
L,,2197
L,57000,2007.4
P,53200,1200
L,55100,1200
P,50470,1070
P,,960
L,43000,720
L,68000,18835.48
L,56000,1735.65
L,53100,2942.75
P,43700,700
L,56100,169
L,81200,1196.63
L,,910
L,43200,600
L,41000,1800
P,51000,110
P,40300,120
L,43900,1350
P,47400,20
L,50300,1200
L,52100,835
P,33100,26
L,56000,1500
P,,4776
L,71760,3000
P,54200,100
L,68000,600
P,43400,840
L,40300,960
P,43900,600
P,55100,3656
L,62300,744
L,51200,156
P,27000,18
P,43200,1419
P,40000,1310
P,56100,1266
P,,480
P,68100,624
P,53200,600
P,33800,12242.57
P,,475
L,48000,3848
L,55100,200
P,50480,1716
L,47500,4500
P,52100,1000
L,43500,600
P,43300,720
P,47100,240
P,54000,240
L,56000,35000
P,80634,420
L,62050,45
P,73200,2000
P,,1200
L,53300,1810
L,50634,1000
P,98100,1000
P,47130,576
L,68000,240
P,,4300
L,43000,444
P,55100,515
L,50490,15000
L,76400,18000
P,68100,600
L,43300,1950
L,47300,3000
P,58100,16000
P,54200,2400
L,56000,13000
P,78000,240
P,40000,720
P,51000,1126
P,53100,660
P,47000,1387
P,53100,1240
P,56100,1700
P,47301,750
L,55100,11000
L,62050,197.68
L,52100,1650
L,60000,7500
P,53100,4200
P,54200,2808
P,68100,7856
L,56100,1254.7
L,47610,11500
P,60000,650
P,53300,2007
P,56100,13439.62
L,43200,1300
L,43000,650
L,45800,50
L,53300,1100
P,43000,400
L,76400,5950
P,47800,15410
L,47810,9200
P,43000,15000
L,40150,6000
P,50490,3000
P,56000,3100
P,56100,750
L,43100,9300
P,43500,3000
P,58200,3000
L,53100,2950
P,55100,3000
L,68100,130000
P,46350,3000
P,47500,4611
P,,123660
P,55100,1000
P,50300,3000
P,55100,5000
P,48000,495
L,68000,10000
P,47000,616
L,47400,41600
P,54200,1650
P,,26444.5
L,51634,1000
P,52100,1455.6
P,53100,675
P,55100,7000
L,53100,1000
L,55100,500
L,,2000
P,53300,4800
L,55100,1000
P,57000,1130
P,,1650
P,48000,652
P,52100,8448.9
L,51100,2250
L,43200,49400
L,59200,165
L,47650,4280
P,68100,3295.4
P,40150,4
P,68100,1050
L,31350,15470
L,71010,1800
L,56000,16030
L,56000,250
P,53000,700
L,50490,10000
P,68000,2000
P,53300,1461
L,54200,400
L,43200,8000
L,59200,1800
L,62250,2000
P,42000,2899
L,43300,1690
L,40100,63660
P,48020,1700
P,50490,3500
L,50300,3060
P,68000,2800
P,68000,450
L,60000,6500
L,53100,3326.4
L,68000,150
L,54200,28800
L,43650,300
P,43200,2400
L,51100,2000
P,47000,10645
P,60000,27000
L,47301,800
L,53300,500
L,53100,140
P,51000,1500
P,43200,2724
L,50300,390
P,,12145.91
P,43200,300
P,40100,5600
L,53100,12180
P,56000,1800
L,48200,4051.55
P,56100,650
P,47600,2000
P,47610,1200
L,,20
P,43650,1800
P,54200,5945
L,43650,3615
L,60000,500
P,68000,1170
P,50400,1440
L,68100,2436
L,43000,5570
L,68000,16758.7
L,43000,60
L,77000,11000
P,54200,1320
L,40300,600
P,43000,630
L,47820,344
L,,14774.95
L,54200,5020.8
P,47820,10800
L,,28
P,43300,240
P,43500,5000
P,43300,3600
L,59100,1500
L,53300,4650
P,55200,240
L,54200,1100
P,68000,586.3
P,47810,73600
L,47301,40000
L,,6176
P,53300,360
P,59200,885
P,48010,260
P,54200,280
P,54200,3000
P,68100,3395
L,40150,29558.45
P,40460,260
P,46000,150
P,68100,550
L,51100,200
L,51200,6400
P,40300,3250
P,54200,5150
L,43000,3000
P,68000,1300
P,43000,550
P,47830,1480
L,70300,38657.75
L,,16079.95
L,43650,650
P,56100,1886
L,57000,1234
L,47800,400
P,59200,4230
P,46000,6400
P,43000,125638.34
P,,2600
P,40000,4500
L,56100,800
P,56000,1600
L,57000,6000
L,,90
P,47000,12000
P,50490,3500
L,62000,3120
L,43000,100104.7
P,68000,550
L,48020,1950
L,47000,180
L,43000,880
L,53200,16596
P,43300,1200
P,54000,4180
P,57000,1800
P,47100,40598.2
L,53100,7200
P,50460,300
L,,643.55
L,59200,859
P,,1200
L,60000,3819
P,68100,860
P,43000,753.65
P,40000,600
L,43000,450
L,54200,2200
P,,12946.65
L,43000,2380
P,68000,275
,43200,360
L,,18
L,68000,2418
L,,250
L,43000,1306.9
L,73100,8400
L,52000,1230
P,48000,120
L,,11896
L,53300,243
L,,8000
P,53200,600
L,55100,1764
L,57100,1200
L,52100,3900
L,57000,1000
P,45200,130
L,60000,1000
L,5350,102.24
P,43700,770
P,68000,746
P,,240
P,,3709.7
P,,10419.7
P,1000,180
P,53100,1200
P,40000,1100
L,48000,17359.25
L,56000,1200
L,42200,600
P,,300
P,43650,600
P,81300,652
P,60000,1255.83
L,81750,300
P,68000,945
L,53000,780
P,53300,280
L,48200,1080
L,59000,4510
L,57000,1020
P,47400,240
P,43000,650
L,51100,250.65
L,56000,1560
L,43000,260
L,51000,2628.8
P,56100,550
P,53100,14400
L,55100,900
L,31400,900
L,,1400
L,43000,350
L,43000,1500
P,59100,2200
L,48000,1630
P,43500,1352
P,68100,2122
L,68000,33088.2
P,,60
L,46100,1920
L,43200,7400
P,87000,3100
P,50480,4000
L,,90
L,,90
P,,240
L,48020,1865
L,43000,1200
L,,420
P,,1674
P,40150,11766.87
P,68000,2500
L,53300,560
P,43300,1000
P,,611
L,18300,2000
L,87000,1820
P,,674.25
P,53000,4890
L,57700,2500
L,56000,420
L,,90
L,48010,1200
P,56000,5566.9
P,62250,5000
L,68000,47000
P,54200,1150
L,,650
L,55100,2600
P,60000,250
P,40160,1940
P,32040,1756
L,61250,1100
L,55100,410
P,8300,90
L,,3300
P,50604,2400
L,,750
L,40000,900
L,,180
P,70400,696
L,62250,5000
P,47810,11500
L,54200,225
L,55300,220
P,51200,2400
L,53100,5268
P,,120
L,5200,860
L,,45
P,43800,1300
L,62250,850
P,43000,2020
P,68100,1440
P,52200,12897.5
P,43300,180
P,62250,1500
L,68100,500
L,,2031.18
L,87000,1044
P,53200,506
L,50480,2972
L,46150,340
L,,153
L,43200,936
P,53300,1040
L,59000,600
P,62300,54
P,,840
L,,444
P,47301,840
L,43650,12400
L,34500,180
P,11200,420
P,55100,574
P,43200,720
P,,360
L,,90
L,60000,625
P,54200,525
P,53100,49
P,68100,900
P,47130,920
P,53100,390
L,60000,3000
L,31000,18
P,56000,680
P,,364
P,26410,500
P,53300,667
L,85300,360
P,83200,90
P,68000,400
P,46150,525
P,62050,4900
P,,360
L,53100,3768.45
L,40000,180
L,,135
P,62050,1700
,,220
L,,45
L,,650
P,54200,908
L,47000,410
P,,1472.7
L,68100,1858.7
L,57000,1000
P,62502,1970
L,42100,480
L,68100,1365
L,60000,1120.95
P,,260
P,51100,1000
P,68000,1400
P,87032,1571
L,,900
L,,690
L,,45
L,87008,360
P,51200,2500
P,,60
P,,180
,62250,130
L,34000,1800
L,40000,7500
P,,550
P,60000,500
P,26200,560
L,54200,23400
P,71900,350
,54000,322
P,55200,650
P,23000,671
P,76300,450
L,68000,4150
P,47610,1500
P,47100,200
L,53300,6000
L,47130,1950
L,26100,90
L,,270
L,,1800
P,51100,3040
P,,4650
P,55100,4000
P,,550
P,50490,16500
P,34200,5550
L,43800,520
L,53100,2000
L,55100,1548
P,52200,300
L,48020,360
P,70400,4524
P,53300,2050
P,,585
P,48300,2000
P,51200,600
P,,240
L,43000,4400
P,,540
L,,55
P,53000,540
P,45300,108
P,,780
P,30020,520
P,87000,7.5
,24000,8185.7
L,68100,324
P,43000,240
L,53300,650
L,55100,299
P,22000,199.3
L,53100,2160
P,55000,396
P,,275
P,81500,900
L,51000,5672
L,,311.08
P,68100,260
L,47301,600
P,43200,270
P,,550
L,53100,200
L,47180,3000
P,,1023.5
P,47800,1840
P,51100,200
P,55100,696
L,47500,1100
P,55100,1560
P,53000,500
L,16150,600
L,43300,414
P,50480,767
L,,9098.9
L,60000,6000
L,43000,7050
L,53100,100
L,,4150
P,,600
L,,804
P,53100,70
P,,492
P,,403
L,43000,3134
L,50470,1500
L,,27000
L,,60
P,43200,408
L,52000,360
P,68000,111
L,43100,57
L,,852
L,71150,1350
L,62200,660
P,,1060
P,50300,2500
P,9000,130
P,30020,1105
P,41250,704
P,50634,639
P,84000,840
P,43200,630
P,54000,880
P,,1032
L,51000,650
L,62300,360
L,54200,420
L,47810,6000
L,57000,100
L,53300,100
